pos	val	cur_ch	rev_sent	rev_ch	rev_idx
60	0.111111111111111	ch8	5	glossary	1860
60	0.111111111111111	ch8	14	glossary	1869
20	0.25	ap1	458	glossary	2439
63	0.1	ap10	668	glossary	4347
63	0.1	ap10	721	glossary	4403
21	0.24468085106383	ap11	161	glossary	4645
19	0.233333333333333	ap16	48	glossary	5057
8	0.0608974358974359	ch1	7	ch1	107
16	0.135658914728682	ch1	9	ch1	109
18	0.235173824130879	ch1	15	ch1	115
19	0.0752212389380531	ch1	16	ch1	116
21	0	ch1	19	ch1	119
23	0.23	ch1	21	ch1	121
24	0.124108416547789	ch1	22	ch1	122
27	0.15035799522673	ch1	23	ch1	123
28	0.214285714285714	ch1	24	ch1	124
29	0	ch1	25	ch1	125
175	0.14572864321608	ch1	80	ch1	180
174	0.206896551724138	ch1	81	ch1	181
176	0.0271398747390397	ch1	82	ch1	182
177	0.00202020202020202	ch1	83	ch1	183
175	0.127777777777778	ch1	89	ch1	189
254	0.1	ch1	212	ch1	313
129	0.179435483870968	ch3	238	ch1	679
133	0.0796019900497512	ch3	240	ch1	681
254	0.2	ch3	675	ch1	1190
254	0.222222222222222	ch4	55	ch1	1245
175	0.243119266055046	ch6	199	ch1	1571
127	0.0142348754448399	ch6	277	ch1	1674
129	0.155405405405405	ch6	278	ch1	1675
16	0.0979591836734694	ch6	279	ch1	1676
133	0.145427286356822	ch8	33	ch1	2043
139	0.0979325353645267	ch8	44	ch1	2054
120	0.25	ap1	198	ch1	2375
173	0.25	ap1	198	ch1	2376
179	0.25	ap1	198	ch1	2377
189	0.25	ap1	198	ch1	2378
199	0.25	ap1	198	ch1	2379
221	0.25	ap1	198	ch1	2380
56	0.2	ap3	18	ch1	3279
120	0.2	ap3	18	ch1	3280
238	0.2	ap3	18	ch1	3281
173	0.2	ap3	21	ch1	3284
249	0.2	ap3	21	ch1	3285
56	0.2	ap3	29	ch1	3293
173	0.1	ap3	37	ch1	3301
175	0.216374269005848	ap3	63	ch1	3335
56	0.25	ap8	142	ch1	4176
120	0.25	ap8	142	ch1	4177
238	0.25	ap8	142	ch1	4178
179	0.25	ap8	155	ch1	4192
199	0.25	ap8	171	ch1	4216
221	0.25	ap8	173	ch1	4218
173	0.2	ap8	209	ch1	4272
249	0.2	ap8	209	ch1	4273
120	0.166666666666667	ap8	212	ch1	4276
173	0.166666666666667	ap8	216	ch1	4280
221	0.166666666666667	ap8	235	ch1	4299
238	0.25	ap16	284	ch1	6354
249	0.25	ap16	284	ch1	6355
31	0.25	pref	15	ch2	77
252	0.228260869565217	ch1	57	ch2	159
98	0.149863760217984	ch1	172	ch2	276
99	0.0261780104712042	ch1	173	ch2	277
100	0.241830065359477	ch1	174	ch2	278
109	0.132867132867133	ch1	180	ch2	284
110	0	ch1	181	ch2	285
117	0.127413127413127	ch1	193	ch2	297
118	0.1	ch1	194	ch2	298
140	0.207885304659498	ch1	204	ch2	308
288	0.2	ch1	212	ch2	316
288	0.222222222222222	ch2	102	ch2	418
44	0.25	ch3	180	ch2	598
44	0.25	ch3	192	ch2	610
44	0.25	ch3	229	ch2	647
44	0.25	ch3	262	ch2	680
44	0.25	ch3	281	ch2	699
44	0.25	ch3	338	ch2	756
44	0.25	ch3	345	ch2	763
44	0.25	ch3	378	ch2	796
44	0.25	ch3	393	ch2	811
44	0.25	ch3	403	ch2	821
44	0.25	ch3	483	ch2	901
44	0.25	ch5	56	ch2	1206
44	0.25	ch6	76	ch2	1320
44	0.25	ch6	90	ch2	1334
44	0.25	ch6	127	ch2	1373
44	0.25	ch6	221	ch2	1467
44	0.25	ch6	238	ch2	1484
44	0.25	ch6	249	ch2	1495
44	0	ch6	319	ch2	1565
44	0	ch6	379	ch2	1625
44	0.25	ch7	14	ch2	1763
44	0.25	ch7	25	ch2	1774
187	0.2	ap3	18	ch2	2625
173	0.166666666666667	ap3	55	ch2	2662
44	0.25	ap4	45	ch2	2735
44	0.25	ap4	47	ch2	2737
44	0.25	ap4	49	ch2	2739
44	0.25	ap4	55	ch2	2745
44	0.25	ap4	58	ch2	2748
44	0.25	ap4	66	ch2	2756
44	0.25	ap4	69	ch2	2759
44	0.25	ap4	76	ch2	2766
44	0.25	ap4	116	ch2	2806
44	0.25	ap5	81	ch2	2891
173	0.142857142857143	ap8	10	ch2	3209
173	0.25	ap8	12	ch2	3211
173	0.25	ap8	14	ch2	3213
173	0.25	ap8	16	ch2	3215
173	0.25	ap8	18	ch2	3217
173	0.25	ap8	20	ch2	3219
173	0.25	ap8	22	ch2	3221
173	0.25	ap8	24	ch2	3223
173	0.25	ap8	26	ch2	3225
173	0.25	ap8	28	ch2	3227
173	0.214285714285714	ap8	32	ch2	3231
173	0.214285714285714	ap8	142	ch2	3342
173	0.214285714285714	ap8	155	ch2	3355
173	0.214285714285714	ap8	164	ch2	3364
173	0.214285714285714	ap8	171	ch2	3371
173	0.214285714285714	ap8	173	ch2	3373
173	0.214285714285714	ap8	178	ch2	3378
173	0.2	ap8	186	ch2	3386
173	0.25	ap8	209	ch2	3409
44	0.25	ap9	19	ch2	3511
44	0.25	ap9	21	ch2	3513
44	0.25	ap9	34	ch2	3526
44	0.25	ap9	37	ch2	3529
173	0.230769230769231	ap10	409	ch2	3957
44	0.25	ap17	21	ch2	5357
44	0.25	ap17	23	ch2	5359
44	0.25	ap17	28	ch2	5364
44	0.25	ap17	39	ch2	5375
44	0.25	ap17	43	ch2	5379
44	0.25	ap17	55	ch2	5391
44	0.25	ap17	59	ch2	5395
44	0.25	ap17	85	ch2	5421
44	0.25	ap17	90	ch2	5426
44	0.25	ap17	97	ch2	5433
44	0	ap17	119	ch2	5455
441	0.248618784530387	ch1	82	ch3	183
547	0.222222222222222	ch2	102	ch3	417
14	0.191860465116279	ch3	240	ch3	697
547	0.2	ch3	675	ch3	1208
17	0	ap3	18	ch3	2947
30	0	ap3	21	ch3	2950
7	0.1	ap3	29	ch3	2958
307	0.238095238095238	ap3	34	ch3	2963
30	0.1	ap3	37	ch3	2966
172	0.1	ap3	37	ch3	2967
421	0.1	ap3	37	ch3	2968
493	0.1	ap3	37	ch3	2969
7	0.1	ap3	55	ch3	2987
355	0.222222222222222	ap5	72	ch3	3265
95	0.25	ap7	87	ch3	3462
95	0.25	ap7	138	ch3	3513
7	0.25	ap8	10	ch3	3591
17	0.25	ap8	32	ch3	3617
7	0.25	ap8	142	ch3	3733
17	0.25	ap8	142	ch3	3734
7	0.25	ap8	155	ch3	3747
7	0.25	ap8	164	ch3	3756
7	0.25	ap8	171	ch3	3763
7	0.25	ap8	173	ch3	3765
7	0.25	ap8	178	ch3	3770
30	0.1	ap8	209	ch3	3801
17	0.25	ap8	212	ch3	3804
30	0.25	ap8	212	ch3	3805
30	0.25	ap8	216	ch3	3809
30	0.25	ap8	235	ch3	3828
95	0.24	ap10	567	ch3	4560
95	0.24	ap10	753	ch3	4762
95	0.208333333333333	ap11	241	ch3	5054
384	0.246478873239437	addn	57	ch3	6193
47	0.167341430499325	ch1	90	ch4	191
360	0.2	ch1	212	ch4	313
53	0.0738255033557047	ch3	121	ch4	538
54	0.123931623931624	ch3	122	ch4	539
55	0.210526315789474	ch3	123	ch4	540
47	0.135031847133758	ch3	247	ch4	699
48	0.1725	ch3	256	ch4	708
49	0.0462724935732648	ch3	257	ch4	709
50	0.0209205020920502	ch3	258	ch4	710
51	0	ch3	259	ch4	711
360	0.222222222222222	ch4	55	ch4	1297
47	0.151898734177215	ch8	53	ch4	2151
52	0.1	ap3	18	ch4	3161
58	0.1	ap3	21	ch4	3164
46	0.2	ap3	29	ch4	3173
180	0.1	ap3	37	ch4	3181
46	0.1	ap3	55	ch4	3199
46	0.25	ap8	10	ch4	3904
52	0.25	ap8	32	ch4	3930
46	0.25	ap8	142	ch4	4040
52	0.25	ap8	142	ch4	4041
46	0.25	ap8	155	ch4	4055
70	0.25	ap8	155	ch4	4056
46	0.25	ap8	164	ch4	4065
76	0.25	ap8	164	ch4	4066
46	0.25	ap8	171	ch4	4073
46	0.25	ap8	173	ch4	4075
46	0.25	ap8	178	ch4	4080
58	0.1	ap8	209	ch4	4111
52	0.25	ap8	212	ch4	4114
58	0.25	ap8	212	ch4	4115
175	0.25	ap8	212	ch4	4116
58	0.25	ap8	216	ch4	4120
180	0.25	ap8	216	ch4	4121
58	0.25	ap8	235	ch4	4140
207	0.25	ap8	235	ch4	4141
109	0.125	ch2	102	ch5	421
109	0.25	ch4	55	ch5	1180
109	0.125	ch5	94	ch5	1278
109	0.25	ch8	64	ch5	1951
11	0.1	ap3	18	ch5	2813
16	0.1	ap3	21	ch5	2816
4	0.2	ap3	29	ch5	2824
16	0.2	ap3	37	ch5	2832
4	0	ap3	55	ch5	2850
4	0.166666666666667	ap8	10	ch5	3433
11	0.166666666666667	ap8	32	ch5	3457
4	0.166666666666667	ap8	142	ch5	3570
11	0.166666666666667	ap8	142	ch5	3571
4	0.166666666666667	ap8	155	ch5	3585
4	0.166666666666667	ap8	164	ch5	3594
4	0.166666666666667	ap8	171	ch5	3601
4	0.166666666666667	ap8	173	ch5	3603
4	0.166666666666667	ap8	178	ch5	3608
4	0.230769230769231	ap8	186	ch5	3617
11	0.230769230769231	ap8	189	ch5	3620
16	0	ap8	209	ch5	3640
11	0.166666666666667	ap8	212	ch5	3643
16	0.166666666666667	ap8	212	ch5	3644
16	0.166666666666667	ap8	216	ch5	3648
16	0.166666666666667	ap8	235	ch5	3667
116	0.25	ch2	102	ch6	419
30	0.186588921282799	ch3	170	ch6	589
116	0.25	ch4	55	ch6	1221
116	0.25	ch5	94	ch6	1322
